"Self_agent","Self","Other_agent","Other","trial","Feedback_Self","agent"
"bias_detector_agent",1,"wsls_agent",0,1,0,1
"bias_detector_agent",0,"wsls_agent",1,2,0,1
"bias_detector_agent",1,"wsls_agent",0,3,0,1
"bias_detector_agent",0,"wsls_agent",1,4,0,1
"bias_detector_agent",1,"wsls_agent",0,5,0,1
"bias_detector_agent",0,"wsls_agent",1,6,0,1
"bias_detector_agent",1,"wsls_agent",0,7,0,1
"bias_detector_agent",0,"wsls_agent",1,8,0,1
"bias_detector_agent",1,"wsls_agent",0,9,0,1
"bias_detector_agent",0,"wsls_agent",1,10,0,1
"bias_detector_agent",1,"wsls_agent",0,11,0,1
"bias_detector_agent",1,"wsls_agent",1,12,1,1
"bias_detector_agent",1,"wsls_agent",0,13,0,1
"bias_detector_agent",1,"wsls_agent",1,14,1,1
"bias_detector_agent",1,"wsls_agent",0,15,0,1
"bias_detector_agent",1,"wsls_agent",1,16,1,1
"bias_detector_agent",1,"wsls_agent",0,17,0,1
"bias_detector_agent",1,"wsls_agent",1,18,1,1
"bias_detector_agent",1,"wsls_agent",0,19,0,1
"bias_detector_agent",1,"wsls_agent",0,20,0,1
"bias_detector_agent",0,"wsls_agent",1,21,0,1
"bias_detector_agent",1,"wsls_agent",0,22,0,1
"bias_detector_agent",0,"wsls_agent",1,23,0,1
"bias_detector_agent",1,"wsls_agent",0,24,0,1
"bias_detector_agent",0,"wsls_agent",1,25,0,1
"bias_detector_agent",1,"wsls_agent",0,26,0,1
"bias_detector_agent",0,"wsls_agent",1,27,0,1
"bias_detector_agent",1,"wsls_agent",0,28,0,1
"bias_detector_agent",0,"wsls_agent",1,29,0,1
"bias_detector_agent",1,"wsls_agent",0,30,0,1
"bias_detector_agent",1,"wsls_agent",1,31,1,1
"bias_detector_agent",1,"wsls_agent",0,32,0,1
"bias_detector_agent",1,"wsls_agent",0,33,0,1
"bias_detector_agent",0,"wsls_agent",1,34,0,1
"bias_detector_agent",1,"wsls_agent",0,35,0,1
"bias_detector_agent",0,"wsls_agent",1,36,0,1
"bias_detector_agent",1,"wsls_agent",0,37,0,1
"bias_detector_agent",0,"wsls_agent",1,38,0,1
"bias_detector_agent",1,"wsls_agent",0,39,0,1
"bias_detector_agent",0,"wsls_agent",1,40,0,1
"bias_detector_agent",1,"wsls_agent",0,41,0,1
"bias_detector_agent",0,"wsls_agent",1,42,0,1
"bias_detector_agent",1,"wsls_agent",0,43,0,1
"bias_detector_agent",1,"wsls_agent",1,44,1,1
"bias_detector_agent",1,"wsls_agent",0,45,0,1
"bias_detector_agent",1,"wsls_agent",1,46,1,1
"bias_detector_agent",1,"wsls_agent",0,47,0,1
"bias_detector_agent",1,"wsls_agent",1,48,1,1
"bias_detector_agent",1,"wsls_agent",0,49,0,1
"bias_detector_agent",1,"wsls_agent",1,50,1,1
"bias_detector_agent",1,"wsls_agent",0,51,0,1
"bias_detector_agent",1,"wsls_agent",1,52,1,1
"bias_detector_agent",1,"wsls_agent",0,53,0,1
