"Self_agent","Self","Other_agent","Other","trial","Feedback_Self","agent","staybias","leavebias","win","lose","SelfPrev"
"wsls_agent",1,"random_agent",1,1,1,1,0.5,0.5,NA,NA,NA
"wsls_agent",1,"random_agent",1,2,1,1,0.5,0.5,1,0,1
"wsls_agent",1,"random_agent",1,3,1,1,0.5,0.5,1,0,1
"wsls_agent",1,"random_agent",0,4,0,1,0.5,0.5,1,0,1
"wsls_agent",0,"random_agent",1,5,0,1,0.5,0.5,0,-1,1
"wsls_agent",1,"random_agent",0,6,0,1,0.5,0.5,0,1,0
"wsls_agent",0,"random_agent",0,7,1,1,0.5,0.5,0,-1,1
"wsls_agent",0,"random_agent",1,8,0,1,0.5,0.5,-1,0,0
"wsls_agent",1,"random_agent",0,9,0,1,0.5,0.5,0,1,0
"wsls_agent",0,"random_agent",1,10,0,1,0.5,0.5,0,-1,1
"wsls_agent",1,"random_agent",1,11,1,1,0.5,0.5,0,1,0
"wsls_agent",0,"random_agent",1,12,0,1,0.5,0.5,1,0,1
"wsls_agent",1,"random_agent",1,13,1,1,0.5,0.5,0,1,0
"wsls_agent",1,"random_agent",1,14,1,1,0.5,0.5,1,0,1
"wsls_agent",1,"random_agent",1,15,1,1,0.5,0.5,1,0,1
"wsls_agent",1,"random_agent",1,16,1,1,0.5,0.5,1,0,1
"wsls_agent",1,"random_agent",1,17,1,1,0.5,0.5,1,0,1
"wsls_agent",1,"random_agent",0,18,0,1,0.5,0.5,1,0,1
"wsls_agent",0,"random_agent",0,19,1,1,0.5,0.5,0,-1,1
"wsls_agent",0,"random_agent",1,20,0,1,0.5,0.5,-1,0,0
"wsls_agent",1,"random_agent",0,21,0,1,0.5,0.5,0,1,0
"wsls_agent",1,"random_agent",0,22,0,1,0.5,0.5,0,-1,1
"wsls_agent",1,"random_agent",1,23,1,1,0.5,0.5,0,-1,1
"wsls_agent",1,"random_agent",0,24,0,1,0.5,0.5,1,0,1
"wsls_agent",1,"random_agent",0,25,0,1,0.5,0.5,0,-1,1
"wsls_agent",1,"random_agent",0,26,0,1,0.5,0.5,0,-1,1
"wsls_agent",0,"random_agent",1,27,0,1,0.5,0.5,0,-1,1
"wsls_agent",1,"random_agent",1,28,1,1,0.5,0.5,0,1,0
"wsls_agent",1,"random_agent",1,29,1,1,0.5,0.5,1,0,1
"wsls_agent",1,"random_agent",1,30,1,1,0.5,0.5,1,0,1
"wsls_agent",1,"random_agent",1,31,1,1,0.5,0.5,1,0,1
"wsls_agent",1,"random_agent",0,32,0,1,0.5,0.5,1,0,1
"wsls_agent",0,"random_agent",0,33,1,1,0.5,0.5,0,-1,1
"wsls_agent",0,"random_agent",0,34,1,1,0.5,0.5,-1,0,0
"wsls_agent",0,"random_agent",0,35,1,1,0.5,0.5,-1,0,0
"wsls_agent",0,"random_agent",0,36,1,1,0.5,0.5,-1,0,0
"wsls_agent",0,"random_agent",0,37,1,1,0.5,0.5,-1,0,0
"wsls_agent",1,"random_agent",1,38,1,1,0.5,0.5,-1,0,0
"wsls_agent",1,"random_agent",1,39,1,1,0.5,0.5,1,0,1
"wsls_agent",1,"random_agent",1,40,1,1,0.5,0.5,1,0,1
"wsls_agent",0,"random_agent",1,41,0,1,0.5,0.5,1,0,1
"wsls_agent",0,"random_agent",0,42,1,1,0.5,0.5,0,1,0
"wsls_agent",0,"random_agent",0,43,1,1,0.5,0.5,-1,0,0
"wsls_agent",0,"random_agent",0,44,1,1,0.5,0.5,-1,0,0
"wsls_agent",0,"random_agent",1,45,0,1,0.5,0.5,-1,0,0
"wsls_agent",0,"random_agent",0,46,1,1,0.5,0.5,0,1,0
"wsls_agent",0,"random_agent",1,47,0,1,0.5,0.5,-1,0,0
"wsls_agent",1,"random_agent",0,48,0,1,0.5,0.5,0,1,0
"wsls_agent",0,"random_agent",0,49,1,1,0.5,0.5,0,-1,1
"wsls_agent",0,"random_agent",0,50,1,1,0.5,0.5,-1,0,0
"wsls_agent",0,"random_agent",0,51,1,1,0.5,0.5,-1,0,0
"wsls_agent",1,"random_agent",0,52,0,1,0.5,0.5,-1,0,0
"wsls_agent",0,"random_agent",1,53,0,1,0.5,0.5,0,-1,1
"wsls_agent",1,"random_agent",0,54,0,1,0.5,0.5,0,1,0
"wsls_agent",0,"random_agent",0,55,1,1,0.5,0.5,0,-1,1
"wsls_agent",0,"random_agent",1,56,0,1,0.5,0.5,-1,0,0
"wsls_agent",1,"random_agent",1,57,1,1,0.5,0.5,0,1,0
"wsls_agent",1,"random_agent",1,58,1,1,0.5,0.5,1,0,1
"wsls_agent",0,"random_agent",0,59,1,1,0.5,0.5,1,0,1
"wsls_agent",0,"random_agent",0,60,1,1,0.5,0.5,-1,0,0
"wsls_agent",1,"random_agent",0,61,0,1,0.5,0.5,-1,0,0
"wsls_agent",0,"random_agent",1,62,0,1,0.5,0.5,0,-1,1
"wsls_agent",1,"random_agent",1,63,1,1,0.5,0.5,0,1,0
"wsls_agent",0,"random_agent",0,64,1,1,0.5,0.5,1,0,1
"wsls_agent",0,"random_agent",1,65,0,1,0.5,0.5,-1,0,0
"wsls_agent",0,"random_agent",1,66,0,1,0.5,0.5,0,1,0
"wsls_agent",1,"random_agent",0,67,0,1,0.5,0.5,0,1,0
"wsls_agent",0,"random_agent",0,68,1,1,0.5,0.5,0,-1,1
"wsls_agent",0,"random_agent",0,69,1,1,0.5,0.5,-1,0,0
"wsls_agent",0,"random_agent",0,70,1,1,0.5,0.5,-1,0,0
"wsls_agent",1,"random_agent",1,71,1,1,0.5,0.5,-1,0,0
"wsls_agent",1,"random_agent",0,72,0,1,0.5,0.5,1,0,1
"wsls_agent",0,"random_agent",1,73,0,1,0.5,0.5,0,-1,1
"wsls_agent",1,"random_agent",0,74,0,1,0.5,0.5,0,1,0
"wsls_agent",0,"random_agent",1,75,0,1,0.5,0.5,0,-1,1
"wsls_agent",1,"random_agent",0,76,0,1,0.5,0.5,0,1,0
"wsls_agent",1,"random_agent",1,77,1,1,0.5,0.5,0,-1,1
"wsls_agent",1,"random_agent",0,78,0,1,0.5,0.5,1,0,1
"wsls_agent",1,"random_agent",0,79,0,1,0.5,0.5,0,-1,1
"wsls_agent",1,"random_agent",0,80,0,1,0.5,0.5,0,-1,1
"wsls_agent",0,"random_agent",1,81,0,1,0.5,0.5,0,-1,1
"wsls_agent",1,"random_agent",0,82,0,1,0.5,0.5,0,1,0
"wsls_agent",0,"random_agent",1,83,0,1,0.5,0.5,0,-1,1
"wsls_agent",0,"random_agent",1,84,0,1,0.5,0.5,0,1,0
"wsls_agent",1,"random_agent",0,85,0,1,0.5,0.5,0,1,0
"wsls_agent",0,"random_agent",0,86,1,1,0.5,0.5,0,-1,1
"wsls_agent",0,"random_agent",1,87,0,1,0.5,0.5,-1,0,0
"wsls_agent",1,"random_agent",1,88,1,1,0.5,0.5,0,1,0
"wsls_agent",0,"random_agent",0,89,1,1,0.5,0.5,1,0,1
"wsls_agent",1,"random_agent",1,90,1,1,0.5,0.5,-1,0,0
"wsls_agent",1,"random_agent",0,91,0,1,0.5,0.5,1,0,1
"wsls_agent",1,"random_agent",0,92,0,1,0.5,0.5,0,-1,1
"wsls_agent",0,"random_agent",0,93,1,1,0.5,0.5,0,-1,1
"wsls_agent",0,"random_agent",0,94,1,1,0.5,0.5,-1,0,0
"wsls_agent",0,"random_agent",0,95,1,1,0.5,0.5,-1,0,0
"wsls_agent",0,"random_agent",0,96,1,1,0.5,0.5,-1,0,0
"wsls_agent",0,"random_agent",1,97,0,1,0.5,0.5,-1,0,0
"wsls_agent",1,"random_agent",0,98,0,1,0.5,0.5,0,1,0
"wsls_agent",0,"random_agent",1,99,0,1,0.5,0.5,0,-1,1
"wsls_agent",1,"random_agent",1,100,1,1,0.5,0.5,0,1,0
"wsls_agent",1,"random_agent",1,101,1,1,0.5,0.5,1,0,1
"wsls_agent",1,"random_agent",0,102,0,1,0.5,0.5,1,0,1
"wsls_agent",1,"random_agent",0,103,0,1,0.5,0.5,0,-1,1
"wsls_agent",0,"random_agent",1,104,0,1,0.5,0.5,0,-1,1
"wsls_agent",1,"random_agent",0,105,0,1,0.5,0.5,0,1,0
"wsls_agent",1,"random_agent",0,106,0,1,0.5,0.5,0,-1,1
"wsls_agent",1,"random_agent",0,107,0,1,0.5,0.5,0,-1,1
"wsls_agent",1,"random_agent",1,108,1,1,0.5,0.5,0,-1,1
