"Self_agent","Self","Other_agent","Other","trial","Feedback_Self","agent"
"wsls_agent",1,"random_agent",1,1,1,1
"wsls_agent",1,"random_agent",1,2,1,1
"wsls_agent",0,"random_agent",1,3,0,1
"wsls_agent",1,"random_agent",1,4,1,1
"wsls_agent",1,"random_agent",0,5,0,1
"wsls_agent",0,"random_agent",1,6,0,1
"wsls_agent",1,"random_agent",1,7,1,1
"wsls_agent",1,"random_agent",0,8,0,1
"wsls_agent",0,"random_agent",0,9,1,1
"wsls_agent",0,"random_agent",0,10,1,1
"wsls_agent",0,"random_agent",0,11,1,1
"wsls_agent",0,"random_agent",0,12,1,1
"wsls_agent",0,"random_agent",1,13,0,1
"wsls_agent",1,"random_agent",1,14,1,1
"wsls_agent",1,"random_agent",1,15,1,1
"wsls_agent",1,"random_agent",1,16,1,1
"wsls_agent",0,"random_agent",0,17,1,1
"wsls_agent",0,"random_agent",0,18,1,1
"wsls_agent",0,"random_agent",0,19,1,1
"wsls_agent",0,"random_agent",1,20,0,1
"wsls_agent",1,"random_agent",1,21,1,1
"wsls_agent",1,"random_agent",0,22,0,1
"wsls_agent",0,"random_agent",0,23,1,1
"wsls_agent",0,"random_agent",1,24,0,1
"wsls_agent",1,"random_agent",0,25,0,1
"wsls_agent",0,"random_agent",0,26,1,1
"wsls_agent",0,"random_agent",0,27,1,1
"wsls_agent",0,"random_agent",1,28,0,1
"wsls_agent",1,"random_agent",0,29,0,1
"wsls_agent",0,"random_agent",0,30,1,1
"wsls_agent",0,"random_agent",1,31,0,1
"wsls_agent",1,"random_agent",0,32,0,1
"wsls_agent",0,"random_agent",1,33,0,1
"wsls_agent",1,"random_agent",1,34,1,1
"wsls_agent",1,"random_agent",0,35,0,1
"wsls_agent",0,"random_agent",1,36,0,1
"wsls_agent",1,"random_agent",1,37,1,1
"wsls_agent",0,"random_agent",1,38,0,1
"wsls_agent",1,"random_agent",0,39,0,1
"wsls_agent",0,"random_agent",0,40,1,1
"wsls_agent",0,"random_agent",0,41,1,1
"wsls_agent",0,"random_agent",0,42,1,1
"wsls_agent",0,"random_agent",0,43,1,1
"wsls_agent",0,"random_agent",0,44,1,1
"wsls_agent",0,"random_agent",1,45,0,1
"wsls_agent",1,"random_agent",1,46,1,1
"wsls_agent",1,"random_agent",1,47,1,1
"wsls_agent",1,"random_agent",0,48,0,1
"wsls_agent",0,"random_agent",1,49,0,1
"wsls_agent",1,"random_agent",1,50,1,1
"wsls_agent",1,"random_agent",1,51,1,1
"wsls_agent",1,"random_agent",0,52,0,1
"wsls_agent",0,"random_agent",0,53,1,1
"wsls_agent",0,"random_agent",0,54,1,1
"wsls_agent",0,"random_agent",0,55,1,1
"wsls_agent",0,"random_agent",1,56,0,1
"wsls_agent",0,"random_agent",0,57,1,1
"wsls_agent",0,"random_agent",1,58,0,1
"wsls_agent",1,"random_agent",0,59,0,1
"wsls_agent",0,"random_agent",0,60,1,1
"wsls_agent",0,"random_agent",0,61,1,1
"wsls_agent",0,"random_agent",0,62,1,1
"wsls_agent",0,"random_agent",0,63,1,1
"wsls_agent",0,"random_agent",1,64,0,1
"wsls_agent",1,"random_agent",0,65,0,1
"wsls_agent",0,"random_agent",1,66,0,1
"wsls_agent",1,"random_agent",0,67,0,1
"wsls_agent",0,"random_agent",1,68,0,1
"wsls_agent",0,"random_agent",1,69,0,1
"wsls_agent",1,"random_agent",0,70,0,1
"wsls_agent",0,"random_agent",1,71,0,1
"wsls_agent",1,"random_agent",0,72,0,1
"wsls_agent",0,"random_agent",0,73,1,1
"wsls_agent",0,"random_agent",1,74,0,1
"wsls_agent",1,"random_agent",0,75,0,1
"wsls_agent",0,"random_agent",1,76,0,1
"wsls_agent",1,"random_agent",1,77,1,1
"wsls_agent",0,"random_agent",0,78,1,1
"wsls_agent",0,"random_agent",1,79,0,1
"wsls_agent",1,"random_agent",1,80,1,1
"wsls_agent",1,"random_agent",0,81,0,1
"wsls_agent",0,"random_agent",1,82,0,1
"wsls_agent",1,"random_agent",1,83,1,1
"wsls_agent",1,"random_agent",0,84,0,1
"wsls_agent",0,"random_agent",1,85,0,1
"wsls_agent",1,"random_agent",0,86,0,1
"wsls_agent",0,"random_agent",0,87,1,1
"wsls_agent",0,"random_agent",1,88,0,1
"wsls_agent",1,"random_agent",1,89,1,1
"wsls_agent",0,"random_agent",0,90,1,1
"wsls_agent",0,"random_agent",1,91,0,1
"wsls_agent",1,"random_agent",1,92,1,1
"wsls_agent",1,"random_agent",1,93,1,1
"wsls_agent",1,"random_agent",0,94,0,1
"wsls_agent",0,"random_agent",0,95,1,1
"wsls_agent",0,"random_agent",0,96,1,1
"wsls_agent",0,"random_agent",1,97,0,1
"wsls_agent",1,"random_agent",0,98,0,1
"wsls_agent",0,"random_agent",0,99,1,1
"wsls_agent",0,"random_agent",1,100,0,1
"wsls_agent",1,"random_agent",0,101,0,1
"wsls_agent",0,"random_agent",0,102,1,1
"wsls_agent",0,"random_agent",1,103,0,1
"wsls_agent",1,"random_agent",1,104,1,1
"wsls_agent",1,"random_agent",1,105,1,1
"wsls_agent",1,"random_agent",1,106,1,1
"wsls_agent",1,"random_agent",0,107,0,1
"wsls_agent",0,"random_agent",0,108,1,1
"wsls_agent",0,"random_agent",0,109,1,1
"wsls_agent",0,"random_agent",1,110,0,1
"wsls_agent",1,"random_agent",0,111,0,1
"wsls_agent",0,"random_agent",1,112,0,1
"wsls_agent",1,"random_agent",1,113,1,1
"wsls_agent",0,"random_agent",1,114,0,1
"wsls_agent",1,"random_agent",0,115,0,1
"wsls_agent",0,"random_agent",1,116,0,1
"wsls_agent",1,"random_agent",1,117,1,1
"wsls_agent",1,"random_agent",0,118,0,1
"wsls_agent",0,"random_agent",1,119,0,1
"wsls_agent",1,"random_agent",0,120,0,1
"wsls_agent",1,"random_agent",1,1,1,2
"wsls_agent",0,"random_agent",0,2,1,2
"wsls_agent",0,"random_agent",0,3,1,2
"wsls_agent",0,"random_agent",0,4,1,2
"wsls_agent",0,"random_agent",0,5,1,2
"wsls_agent",0,"random_agent",1,6,0,2
"wsls_agent",0,"random_agent",0,7,1,2
"wsls_agent",0,"random_agent",0,8,1,2
"wsls_agent",0,"random_agent",1,9,0,2
"wsls_agent",1,"random_agent",0,10,0,2
"wsls_agent",0,"random_agent",1,11,0,2
"wsls_agent",1,"random_agent",0,12,0,2
"wsls_agent",0,"random_agent",1,13,0,2
"wsls_agent",1,"random_agent",0,14,0,2
"wsls_agent",0,"random_agent",1,15,0,2
"wsls_agent",1,"random_agent",0,16,0,2
"wsls_agent",0,"random_agent",1,17,0,2
"wsls_agent",0,"random_agent",0,18,1,2
"wsls_agent",0,"random_agent",1,19,0,2
"wsls_agent",1,"random_agent",1,20,1,2
"wsls_agent",1,"random_agent",0,21,0,2
"wsls_agent",0,"random_agent",1,22,0,2
"wsls_agent",0,"random_agent",0,23,1,2
"wsls_agent",0,"random_agent",0,24,1,2
"wsls_agent",0,"random_agent",0,25,1,2
"wsls_agent",0,"random_agent",1,26,0,2
"wsls_agent",1,"random_agent",1,27,1,2
"wsls_agent",1,"random_agent",0,28,0,2
"wsls_agent",0,"random_agent",0,29,1,2
"wsls_agent",0,"random_agent",0,30,1,2
"wsls_agent",0,"random_agent",0,31,1,2
"wsls_agent",0,"random_agent",0,32,1,2
"wsls_agent",0,"random_agent",1,33,0,2
"wsls_agent",1,"random_agent",0,34,0,2
"wsls_agent",0,"random_agent",0,35,1,2
"wsls_agent",0,"random_agent",1,36,0,2
"wsls_agent",1,"random_agent",1,37,1,2
"wsls_agent",1,"random_agent",1,38,1,2
"wsls_agent",1,"random_agent",0,39,0,2
"wsls_agent",0,"random_agent",1,40,0,2
"wsls_agent",1,"random_agent",1,41,1,2
"wsls_agent",1,"random_agent",0,42,0,2
"wsls_agent",0,"random_agent",0,43,1,2
"wsls_agent",0,"random_agent",0,44,1,2
"wsls_agent",0,"random_agent",1,45,0,2
"wsls_agent",1,"random_agent",1,46,1,2
"wsls_agent",1,"random_agent",0,47,0,2
"wsls_agent",0,"random_agent",1,48,0,2
"wsls_agent",1,"random_agent",0,49,0,2
"wsls_agent",0,"random_agent",1,50,0,2
"wsls_agent",1,"random_agent",1,51,1,2
"wsls_agent",0,"random_agent",0,52,1,2
"wsls_agent",0,"random_agent",0,53,1,2
"wsls_agent",0,"random_agent",0,54,1,2
"wsls_agent",0,"random_agent",0,55,1,2
"wsls_agent",0,"random_agent",1,56,0,2
"wsls_agent",1,"random_agent",0,57,0,2
"wsls_agent",0,"random_agent",0,58,1,2
"wsls_agent",0,"random_agent",0,59,1,2
"wsls_agent",0,"random_agent",0,60,1,2
"wsls_agent",0,"random_agent",1,61,0,2
"wsls_agent",1,"random_agent",1,62,1,2
"wsls_agent",1,"random_agent",0,63,0,2
"wsls_agent",0,"random_agent",1,64,0,2
