ID,FaceID,Trial_Round1,FirstRating,OtherRating,Trial_Round2,SecondRating,Feedback,Change,Class
1,10,144,7,4,244,5,-3,-2,1
1,11,161,5,2,261,6,-3,1,1
1,12,155,5,7,255,6,2,1,1
1,13,132,5,7,232,5,2,0,1
1,14,153,4,2,253,5,-2,1,1
1,15,180,5,5,280,5,0,0,1
1,16,150,5,2,250,5,-3,0,1
1,17,129,5,8,229,5,3,0,1
1,18,139,6,4,239,4,-2,-2,1
1,19,131,6,6,231,6,0,0,1
1,2,154,5,5,254,6,0,1,1
1,20,157,7,0,257,6,-7,-1,1
1,21,136,4,1,236,4,-3,0,1
1,22,12,3,5,22,4,2,1,1
1,23,151,6,3,251,5,-3,-1,1
1,24,110,4,2,210,5,-2,1,1
1,25,13,5,7,23,5,2,0,1
1,26,114,5,3,214,6,-2,1,1
1,27,158,5,2,258,5,-3,0,1
1,28,160,5,8,260,5,3,0,1
1,29,123,7,4,223,6,-3,-1,1
1,3,143,5,7,243,5,2,0,1
1,30,138,6,3,238,5,-3,-1,1
1,31,125,7,0,225,6,-7,-1,1
1,32,111,5,2,211,6,-3,1,1
1,33,115,5,3,215,5,-2,0,1
1,34,121,5,5,221,5,0,0,1
1,35,175,5,3,275,6,-2,1,1
1,36,135,6,4,235,5,-2,-1,1
1,37,140,6,8,240,5,2,-1,1
1,38,147,7,4,247,6,-3,-1,1
1,39,159,3,5,259,3,2,0,1
1,4,169,5,8,269,5,3,0,1
1,40,134,5,8,234,6,3,1,1
1,41,179,6,8,279,4,2,-2,1
1,42,148,6,4,248,5,-2,-1,1
1,43,170,5,5,270,5,0,0,1
1,44,171,4,6,271,6,2,2,1
1,45,168,6,4,268,6,-2,0,1
1,46,163,6,4,263,6,-2,0,1
1,47,167,5,7,267,5,2,0,1
1,48,130,3,6,230,5,3,2,1
1,49,126,3,3,226,5,0,2,1
1,5,142,6,4,242,5,-2,-1,1
1,50,165,5,0,265,6,-5,1,1
1,51,11,5,0,21,4,-5,-1,1
1,52,15,5,3,25,5,-2,0,1
1,53,173,5,0,273,5,-5,0,1
1,54,146,6,8,246,6,2,0,1
1,55,124,8,8,224,6,0,-2,1
1,56,19,8,0,29,5,-8,-3,1
1,57,145,5,8,245,6,3,1,1
1,58,133,6,0,233,6,-6,0,1
1,59,18,7,4,28,5,-3,-2,1
1,6,16,5,8,26,5,3,0,1
1,60,166,3,1,266,5,-2,2,1
1,61,116,4,1,216,5,-3,1,1
1,62,172,4,6,272,5,2,1,1
1,63,177,4,2,277,4,-2,0,1
1,64,149,6,0,249,5,-6,-1,1
1,65,17,4,7,27,5,3,1,1
1,66,120,4,2,220,4,-2,0,1
1,67,156,6,8,256,6,2,0,1
1,68,176,5,7,276,5,2,0,1
1,69,164,5,2,264,6,-3,1,1
1,7,118,2,4,218,4,2,2,1
1,70,128,4,6,228,6,2,2,1
1,71,122,6,3,222,5,-3,-1,1
1,72,162,4,2,262,6,-2,2,1
1,73,14,4,6,24,4,2,0,1
1,74,113,5,5,213,6,0,1,1
1,75,137,5,8,237,6,3,1,1
1,76,112,4,1,212,4,-3,0,1
1,77,117,3,0,217,3,-3,0,1
1,78,174,4,2,274,4,-2,0,1
1,79,178,6,6,278,5,0,-1,1
1,8,152,4,1,252,5,-3,1,1
1,80,119,4,7,219,4,3,0,1
1,81,127,4,4,227,5,0,1,1
1,9,141,5,0,241,6,-5,1,1
10,10,141,3,0,241,3,-3,0,1
10,11,150,5,2,250,5,-3,0,1
10,12,143,3,3,243,3,0,0,1
10,13,121,2,4,221,2,2,0,1
10,14,144,4,2,244,3,-2,-1,1
10,15,168,3,6,268,4,3,1,1
10,16,114,2,5,214,2,3,0,1
10,17,128,4,1,228,3,-3,-1,1
10,18,159,5,5,259,6,0,1,1
