Trial_Round2,SecondRating,RT_Round2,OtherRating,ID,Group,Trial_Round1,FaceID,FirstRating,RT_Round1
3,6,6817,8,101,1,99,0,6,4113
38,4,7071,4,101,1,40,1,4,4686
70,4,8363,4,101,1,143,2,6,5325
48,3,10669,1,101,1,89,3,4,9363
66,5,7656,5,101,1,90,4,5,6377
85,3,7870,3,101,1,49,5,4,3471
61,3,8070,3,101,1,64,6,4,4859
113,4,6671,4,101,1,45,7,4,6645
32,5,5897,5,101,1,59,8,5,4377
28,4,7870,2,101,1,100,9,5,7910
8,6,6205,4,101,1,33,10,4,7990
44,5,8602,2,101,1,31,11,5,7963
37,5,6231,7,101,1,131,12,5,3244
101,4,5844,6,101,1,5,13,5,13094
103,4,7177,4,101,1,30,14,4,4539
139,5,8563,2,101,1,142,15,5,6870
122,4,5990,4,101,1,87,16,5,8336
142,4,6896,2,101,1,54,17,4,6924
17,4,7683,1,101,1,126,18,5,4618
77,4,7243,7,101,1,67,19,5,5910
16,3,5857,3,101,1,151,20,5,5884
25,3,7856,3,101,1,1,21,4,17693
5,4,3592,7,101,1,119,22,4,6657
71,3,8123,6,101,1,113,23,4,6377
27,5,4952,5,101,1,125,24,5,3471
51,4,8643,2,101,1,44,25,5,6005
144,4,5084,2,101,1,63,26,4,5310
2,5,9788,7,101,1,14,27,5,5471
59,4,6498,4,101,1,108,28,4,7724
91,5,9469,5,101,1,83,29,5,4191
9,4,8882,6,101,1,80,30,4,6163
65,4,6470,7,101,1,29,31,5,7349
147,4,4857,1,101,1,53,32,4,3406
10,3,12415,3,101,1,16,33,5,6164
73,4,6163,4,101,1,27,34,5,4991
22,4,9190,4,101,1,110,35,5,2753
53,3,8269,6,101,1,52,36,4,3472
52,3,7190,3,101,1,121,37,5,2964
151,4,5004,1,101,1,92,38,5,8617
7,2,5364,5,101,1,116,39,5,4378
72,4,7564,2,101,1,85,40,5,5764
110,5,6536,2,101,1,24,41,5,3632
42,4,6910,6,101,1,130,42,4,6443
100,5,5430,7,101,1,72,43,5,2672
146,4,6337,1,101,1,61,44,4,3165
13,5,6258,7,101,1,86,45,5,2832
81,4,6829,1,101,1,94,46,4,4098
125,4,3631,7,101,1,73,47,5,5511
31,4,6430,4,101,1,98,48,5,3031
145,4,7871,1,101,1,23,49,5,5991
58,5,3658,8,101,1,123,50,6,5658
104,3,7870,3,101,1,117,51,4,7377
24,5,8376,7,101,1,115,52,5,4764
123,5,5897,2,101,1,145,53,5,4671
84,3,8616,3,101,1,37,54,4,3539
111,5,3564,5,101,1,46,55,5,6550
14,7,8777,5,101,1,25,56,6,6950
41,4,7416,2,101,1,65,57,4,3031
26,3,7523,5,101,1,144,58,5,6738
6,5,7084,7,101,1,77,59,5,5231
15,5,6657,5,101,1,41,60,4,5737
54,3,7497,5,101,1,32,61,4,4445
133,4,5178,7,101,1,97,62,5,7057
79,5,4790,5,101,1,120,63,5,4631
114,4,6416,4,101,1,95,64,4,6818
106,4,8243,6,101,1,140,65,5,5098
93,5,6937,7,101,1,42,66,4,3578
98,5,5418,7,101,1,91,67,5,4084
69,3,8204,3,101,1,2,68,5,4871
62,5,8563,5,101,1,127,69,5,3191
89,4,7843,4,101,1,55,70,4,3911
130,5,6150,7,101,1,84,71,5,4671
90,4,3952,1,101,1,135,72,5,6563
109,5,8589,2,101,1,78,73,5,4139
112,5,6098,3,101,1,75,74,4,5711
18,5,5324,7,101,1,18,75,5,4392
11,6,4244,4,101,1,133,76,5,2900
23,5,5685,5,101,1,106,77,4,7523
12,2,4538,2,101,1,137,78,4,3298
20,4,8324,7,101,1,38,79,4,7511
137,5,5084,8,101,1,8,80,5,6525
76,4,5377,6,101,1,79,81,4,4339
135,4,5392,2,101,1,107,82,4,6457
19,6,7484,6,101,1,60,83,5,5951
143,4,9990,2,101,1,66,84,5,3846
116,5,7376,8,101,1,114,85,5,3885
115,4,5083,4,101,1,21,86,5,4005
86,3,5430,5,101,1,105,87,4,4338
57,5,5217,8,101,1,17,88,6,4844
60,4,7310,4,101,1,101,89,5,8297
153,5,6084,3,101,1,10,90,5,5432
67,3,5738,3,101,1,56,91,4,5312
119,5,4391,2,101,1,58,92,4,6365
107,5,6404,2,101,1,102,93,5,3164
97,4,3498,1,101,1,43,94,5,5630
39,4,6644,4,101,1,93,95,4,6698
121,4,5391,2,101,1,6,96,4,6350
43,4,9763,4,101,1,35,97,5,7764
148,4,8682,1,101,1,153,98,4,4659
4,5,5364,5,101,1,81,99,4,5792
45,4,7057,4,101,1,96,100,4,7763
80,4,7137,6,101,1,34,101,5,3951
96,5,3111,8,101,1,132,102,5,3045
108,4,3245,6,101,1,147,103,5,3365
92,4,4819,4,101,1,112,104,4,5724
118,5,5630,8,101,1,124,105,6,7416
141,5,7096,2,101,1,109,106,5,3351
46,4,6431,2,101,1,74,107,4,6577
120,5,6763,7,101,1,57,108,5,3779
40,3,7550,6,101,1,9,109,4,3311
56,4,9097,1,101,1,118,110,4,5017
124,5,4299,5,101,1,149,111,6,6111
34,4,9762,1,101,1,26,112,6,7484
33,4,8203,7,101,1,139,113,5,2565
102,4,5044,4,101,1,141,114,5,4285
55,3,7403,3,101,1,146,115,4,4165
94,4,5498,7,101,1,103,116,4,7364
21,4,7630,4,101,1,76,117,4,3352
68,4,6070,4,101,1,70,118,4,8790
117,5,5430,3,101,1,71,119,5,2859
99,4,4150,6,101,1,48,120,4,6871
126,4,6378,2,101,1,51,121,5,6324
131,5,6231,2,101,1,50,122,5,3298
49,4,10376,7,101,1,134,123,4,5044
136,5,6697,3,101,1,88,124,5,4645
105,4,4286,7,101,1,62,125,4,4725
150,4,4337,1,101,1,19,126,4,4738
63,5,5352,3,101,1,129,127,4,7484
64,4,4364,6,101,1,20,128,6,5231
129,4,4044,4,101,1,47,129,4,4364
140,4,5057,1,101,1,39,130,4,4217
75,4,6738,2,101,1,82,131,5,4818
50,5,5765,3,101,1,68,132,5,3419
128,5,6030,8,101,1,69,133,4,6097
127,5,6018,5,101,1,11,134,5,4912
87,4,7723,4,101,1,136,135,4,6071
88,4,5458,2,101,1,148,136,5,6777
30,5,4858,5,101,1,104,137,5,7990
35,3,7497,3,101,1,111,138,5,5870
95,5,6177,5,101,1,22,139,5,5112
134,5,4912,2,101,1,12,140,5,6524
78,5,6218,5,101,1,138,141,5,4351
149,4,3446,1,101,1,152,142,4,5363
83,4,7816,7,101,1,128,143,4,8910
152,5,1486,3,101,1,150,144,5,7456
36,3,10095,6,101,1,36,145,5,4658
82,5,4844,8,101,1,122,146,5,5164
29,3,10536,5,101,1,3,147,5,6524
132,6,4111,3,101,1,4,148,6,5632
1,1,18573,4,101,1,7,149,5,4950
47,3,7310,6,101,1,28,150,5,4018
138,5,7124,3,101,1,15,151,6,4299
74,4,5418,2,101,1,13,152,5,7696
71,8,3218,8,103,1,70,0,7,8775
45,7,4110,5,103,1,100,1,6,2819
93,3,4564,6,103,1,111,2,2,5057
137,1,3259,4,103,1,125,3,5,5044
120,5,7803,8,103,1,81,4,8,4084
67,6,6444,6,103,1,8,5,2,2978
80,8,4685,8,103,1,17,6,3,5991
91,4,9323,4,103,1,90,7,2,3084
77,8,6816,8,103,1,15,8,4,4019
150,1,4192,3,103,1,59,9,3,3684
6,4,9642,2,103,1,21,10,8,4499
43,8,6857,8,103,1,51,11,7,7111
131,8,9815,8,103,1,62,12,8,3364
34,3,9096,1,103,1,85,13,3,5483
68,2,5058,2,103,1,38,14,8,4378
37,7,5777,4,103,1,68,15,3,4377
105,3,3405,6,103,1,23,16,7,4364
22,6,7284,6,103,1,52,17,8,6564
104,8,2339,5,103,1,16,18,7,3337
153,6,8483,8,103,1,74,19,7,5604
147,8,9164,8,103,1,116,20,3,4898
