TimeStamp,ID,Participant,Booking_system,Item,Score,ScoreN,Component
2/4/2022 11:41:17,201805308,Participant,NFB,Quickly,Strongly Agree,7,Percieved Usefulness
2/4/2022 11:42:28,TRS,Participant,NFB,Quickly,Slightly disagree,3,Percieved Usefulness
2/4/2022 11:43:10,201805308,Participant,Cinemaxx,Quickly,Strongly Agree,7,Percieved Usefulness
2/4/2022 11:44:52,2020,Participant,NFB,Quickly,Agree,6,Percieved Usefulness
2/4/2022 11:45:49,Athen,Participant,Cinemaxx,Quickly,Strongly Agree,7,Percieved Usefulness
2/4/2022 11:46:01,Jakob,Participant,NFB,Quickly,Strongly Agree,7,Percieved Usefulness
2/4/2022 11:47:14,TRS,Participant,Cinemaxx,Quickly,Agree,6,Percieved Usefulness
2/4/2022 11:47:17,stine,Participant,NFB,Quickly,Agree,6,Percieved Usefulness
2/4/2022 11:47:18,QWERTY1001,Participant,NFB,Quickly,Agree,6,Percieved Usefulness
2/4/2022 11:48:00,240696xxxxx,Participant,NFB,Quickly,Agree,6,Percieved Usefulness
2/4/2022 11:48:04,anja220,Participant,Cinemaxx,Quickly,Agree,6,Percieved Usefulness
2/4/2022 11:48:13,AL,Participant,NFB,Quickly,Neither agree nor disagree,4,Percieved Usefulness
2/4/2022 11:48:26,8888,Participant,NFB,Quickly,Agree,6,Percieved Usefulness
2/4/2022 11:48:36,2020,Participant,Cinemaxx,Quickly,Strongly Agree,7,Percieved Usefulness
2/4/2022 11:50:32,anja220,Participant,NFB,Quickly,Agree,6,Percieved Usefulness
2/4/2022 11:50:37,Athen,Participant,NFB,Quickly,Strongly Agree,7,Percieved Usefulness
2/4/2022 11:50:57,gamer,Participant,NFB,Quickly,Agree,6,Percieved Usefulness
2/4/2022 11:52:05,Melina,Participant,Cinemaxx,Quickly,Strongly Agree,7,Percieved Usefulness
2/4/2022 11:52:16,Jakob,Participant,Cinemaxx,Quickly,Strongly Agree,7,Percieved Usefulness
2/4/2022 11:52:34,stine,Participant,Cinemaxx,Quickly,Slightly agree,5,Percieved Usefulness
2/4/2022 11:52:39,KK,Anthropologist,NFB,Quickly,Slightly agree,5,Percieved Usefulness
2/4/2022 11:52:58,ACM,Anthropologist,NFB,Quickly,Agree,6,Percieved Usefulness
2/4/2022 11:54:36,704314,Participant,NFB,Quickly,Agree,6,Percieved Usefulness
2/4/2022 11:54:37,SK95,Participant,NFB,Quickly,Strongly Agree,7,Percieved Usefulness
2/4/2022 11:55:29,gHoStFaCeKiLlEr,Anthropologist,Cinemaxx,Quickly,Agree,6,Percieved Usefulness
2/4/2022 11:55:32,240696xxxx,Participant,Cinemaxx,Quickly,Slightly agree,5,Percieved Usefulness
2/4/2022 11:55:34,8888,Participant,Cinemaxx,Quickly,Agree,6,Percieved Usefulness
2/4/2022 11:55:43,QWERTY1001,Participant,Cinemaxx,Quickly,Strongly Agree,7,Percieved Usefulness
2/4/2022 11:56:18,gamer,Participant,Cinemaxx,Quickly,Disagree,2,Percieved Usefulness
2/4/2022 11:56:21,gHoStFaCeKiLlEr,Anthropologist,NFB,Quickly,Slightly agree,5,Percieved Usefulness
2/4/2022 11:56:34,Melina,Participant,NFB,Quickly,Agree,6,Percieved Usefulness
