Education,Year,ID,Framing,BotStrategy,Trial,Decision,BotDecision,Payoff
Information,2019,3ub2an9s,Human,WSLS,1,0,0,1
Information,2019,3ub2an9s,Human,WSLS,10,0,1,-1
Information,2019,3ub2an9s,Human,WSLS,11,0,1,-1
Information,2019,3ub2an9s,Human,WSLS,12,1,1,1
Information,2019,3ub2an9s,Human,RS,13,0,1,-1
Information,2019,3ub2an9s,Human,RS,14,1,0,-1
Information,2019,3ub2an9s,Human,RS,15,0,1,-1
Information,2019,3ub2an9s,Human,RS,16,0,1,-1
Information,2019,3ub2an9s,Human,RS,17,1,0,-1
Information,2019,3ub2an9s,Human,RS,18,1,0,-1
Information,2019,3ub2an9s,Human,RS,19,0,1,-1
Information,2019,3ub2an9s,Human,WSLS,2,1,1,1
Information,2019,3ub2an9s,Human,RS,20,1,0,-1
Information,2019,3ub2an9s,Human,RS,21,1,0,-1
Information,2019,3ub2an9s,Human,RS,22,0,1,-1
Information,2019,3ub2an9s,Human,RS,23,1,0,-1
Information,2019,3ub2an9s,Human,RS,24,1,0,-1
Information,2019,3ub2an9s,Human,WSLS,3,0,0,1
Information,2019,3ub2an9s,Human,WSLS,4,0,1,-1
Information,2019,3ub2an9s,Human,WSLS,5,0,1,-1
Information,2019,3ub2an9s,Human,WSLS,6,1,1,1
Information,2019,3ub2an9s,Human,WSLS,7,1,0,-1
Information,2019,3ub2an9s,Human,WSLS,8,1,0,-1
Information,2019,3ub2an9s,Human,WSLS,9,0,0,1
Media,2019,94j1ciy2,Human,WSLS,1,0,0,1
Media,2019,94j1ciy2,Human,WSLS,10,0,1,-1
Media,2019,94j1ciy2,Human,WSLS,11,1,1,1
Media,2019,94j1ciy2,Human,WSLS,12,1,0,-1
Media,2019,94j1ciy2,Human,RS,13,1,0,-1
Media,2019,94j1ciy2,Human,RS,14,1,0,-1
Media,2019,94j1ciy2,Human,RS,15,1,0,-1
Media,2019,94j1ciy2,Human,RS,16,1,0,-1
Media,2019,94j1ciy2,Human,RS,17,0,1,-1
Media,2019,94j1ciy2,Human,RS,18,1,0,-1
Media,2019,94j1ciy2,Human,RS,19,0,1,-1
Media,2019,94j1ciy2,Human,WSLS,2,1,1,1
Media,2019,94j1ciy2,Human,RS,20,0,1,-1
Media,2019,94j1ciy2,Human,RS,21,1,0,-1
